3239524591,8412905426,7648972901,7051659706,5796528191,1071402155,-1873427620,-4657440180,-2120184779,-2539110439,-1087111810,408085505,285934540,708151256,-86036039,330275875,-100429900,7283642,-35728474,3477849,7572,-245522,-540,0,1 # liftF r=8
391577,-3203766,-15089460,-30807004,-39422386,20383587,157021068,234614061,111500081,-170560081,-338902909,-230682907,1289394,115255415,73911989,-1461873,-18994165,-4390635,1081430,600183,26344,-26340,-1300,0,1 # liftF r=12
-720337091,-1456770,202994532,-1709801740,43793994,305035526,-1646559338,94194164,160432619,-811313223,66303606,32714862,-209686743,20041657,922009,-24174837,2455408,-317077,-62285,59708,-432,157039,-1140,0,1 # liftF r=8
1550179,26470955,168214354,509307777,834955238,1135027627,1864706642,1714859224,458346961,963718287,345537144,-1389391946,-176598842,505289368,-468929347,-279488075,219107194,101660408,-23773546,-12358286,29388,265846,-668,0,1 # liftF r=14
135557047,-83441466,-2379533599,-4229588679,-157396772,7161938974,7863841088,-11166991,-7063801432,-5568698291,475157166,3262970674,1683340424,-372249318,-753631376,-180036596,99679395,69233208,-1409065,-8449160,29388,181089,-668,0,1 # liftF r=12
234034819,78615838,-8248220,-571401778,-46302746,51662023,39676921,-188271929,-17428794,425605929,44278611,-44094737,-2662731,83057864,-641215,-73285413,7866743,4136033,-7373415,-1856598,11826,139005,-876,0,1 # liftF r=8
-884579,0,0,-9205609,0,0,58941553,0,0,-112352200,0,0,93328903,0,0,-33826200,0,0,3912164,0,0,40168,0,0,1 # liftF r=8
36246073,100612300,-624475566,820285419,218160271,-4101305771,10546467099,-14363409168,13394159327,-8917794491,3360899066,-1272853597,-532312734,3854134699,-2536466366,-699364797,739217313,30760033,-47806040,-5092626,26344,259984,-1300,0,1 # liftF r=12
-3598073663,2444467480,2226275234,-9625634951,5262297350,3265563148,-9955281897,4978539505,1631005470,-5060591050,2338142200,296633877,-1328405037,519653204,18343185,-182595304,46339503,300796,-11924658,402675,150,-107237,-44,0,1 # liftF r=8
-41309,-245644,954009,2732363,-8982137,307040,22540993,-32925953,16024403,24283251,-49211579,24562754,14052303,-27794856,18404570,6418505,-10433377,2709376,980737,-1769794,190,186821,-28,0,1 # liftF r=12
-1054149584,485409968,1069792224,3071100998,-744889797,-2508175981,-4453682776,-192962632,1954757720,3317583215,851267182,-423688978,-1069127196,-323271091,17388104,160615576,37828644,-281353,-10200820,-378460,150,100749,-44,0,1 # liftF r=8
8705869,68610440,218812399,376308584,416214882,371772405,267082963,26983995,-189168676,-183639095,-129627520,-123382021,-26338330,61996074,27647573,5157930,18850955,1133533,-7791551,-741280,190,78375,-28,0,1 # liftF r=10
-724573,0,0,-12748121,0,0,-68168170,0,0,-143509160,0,0,-121104785,0,0,-42824348,0,0,-4988044,0,0,108741,0,0,1 # liftF r=8
-31532009,-138433966,-101581012,208128040,436756046,121360984,-360704806,-452017404,-57202140,265946331,245015103,4644008,-101518986,-74510176,2959762,22809377,11529066,-481783,-3032413,-688047,150,181397,-44,0,1 # liftF r=10
-6231381281,0,0,13143510045,0,0,-11425504002,0,0,5234675651,0,0,-1329660057,0,0,175956473,0,0,-9011952,0,0,-87391,0,0,1 # liftF r=8
-2345725007,-1185166563,2635124054,5736767628,-284927096,-4844109486,-4083641693,1910024570,2959269521,1167676692,-1251704100,-824026889,-97332450,355515712,96480452,-14627276,-46425433,-2872203,3718246,1874200,190,-197811,-28,0,1 # liftF r=8
-699808688,1488555888,-1076024680,-3481269406,7270138741,-4645884482,-5359936621,10248443857,-5128456694,-4369819266,6418379243,-2294336593,-1989236202,1924618666,-433651156,-466844967,247006083,-26488413,-44335988,7539166,17640,-249768,-604,0,1 # liftF r=8
136001,0,0,2349425,0,0,14299408,0,0,36853965,0,0,38177429,0,0,16906913,0,0,2933820,0,0,154215,0,0,1 # liftF r=8
-46971664,-10654352,74404192,-1274807622,-2726936377,-2153448713,5157986938,9331646959,5348810549,-4503284107,-6401389733,-2153608443,1639812690,993341697,-32010393,-83183930,133223371,35298489,-36926370,-9969408,17640,328086,-604,0,1 # liftF r=8
2544389,6621648,356852,16636078,62940751,27685267,-2169411,86207230,88594672,-53164572,-106403030,18805622,34512035,-64840088,-41186955,38856341,40580176,-9214639,-11759725,2599920,17640,-87425,-604,0,1 # liftF r=10
-8763467,0,0,122867998,0,0,-561644567,0,0,967377246,0,0,-759810129,0,0,276869926,0,0,-37481019,0,0,-244602,0,0,1 # liftF r=8
2885173,-257024,-3287484,-28191215,14037074,25804955,41219047,-41871143,-27919777,21248276,12311619,-22622143,-22690213,24306733,11103043,-2325074,-7641161,1375217,1045292,-400819,12196,36280,-1220,0,1 # liftF r=10
20569,-507222,-412128,5023233,-4922179,-19009142,43592141,10799317,-123121970,99639892,136456573,-256796983,17927866,260698945,-161117558,-104242074,129339996,3773085,-39729943,-1651928,210,249606,-36,0,1 # liftF r=12
-409209347,-1275895693,-1538573530,-736752187,681277639,1287244618,1337065505,924778803,159589996,-505018909,-820645665,-324928011,-137216130,145286904,53204000,152736281,15003408,635820,-31705295,-233639,-432,-303946,-1140,0,1 # liftF r=8
10830971,-14123365,-239148304,626316766,105262761,-2466032079,7587894689,-12397848538,10655467609,-6997995074,851924481,1988950713,846079455,2018209140,-3118771328,-474099850,909732614,25725822,-59372474,-4433207,26344,232244,-1300,0,1 # liftF r=14
971339879,1123435044,-2173397847,3673947919,4792967416,-6550597476,4854889848,7967444605,-7309947592,2487002721,6430391021,-3590077124,127179908,2518922165,-667051886,-252221281,387731553,-6856009,-49275493,2573345,12196,-277264,-1220,0,1 # liftF r=10
1649339,-6926510,-24962671,-1785615,51261769,56540364,8384084,-41311683,-56115535,-34261077,-6415049,13139247,22008081,19832784,-1958618,-4994375,-6306034,-29710,1527743,-68158,150,16986,-44,0,1 # liftF r=10
355247401,327352946,-119424765,-1407798787,75310491,1090182172,944556726,-2107292835,-1539102951,1062175485,2039741703,692769875,-930790897,-656403344,-110612136,232252483,76143802,4379426,-19958117,-1916632,210,289156,-36,0,1 # liftF r=8
90949,-125637071,1174697797,-2987636230,806885467,629237709,4220635552,-233476069,-4180822853,-2323823102,815215928,2715421631,705440122,-840460490,-554807657,6072803,148125336,31785753,-13282928,-3897068,29388,85397,-668,0,1 # liftF r=14
-1840624,-12104,9071744,-1762084,-32056237,-5602707,61276398,14837379,-98077572,-44571229,99647420,61719452,-70734440,-51062152,37593483,30484264,-10919136,-10554348,912890,1466063,25014,-53720,-948,0,1 # liftF r=10
231570023,-342111665,-110328881,975911925,-855811976,-292023106,1326140027,-890847362,-216599546,866855705,-481627240,-65741130,298186541,-133235104,-6293545,55838249,-15522001,607389,4948549,-395044,190,41550,-28,0,1 # liftF r=8
1565497,-303890,-4391468,-33352072,26334760,75477380,-106317206,-24046258,335247941,193266824,-340235112,36926312,536640189,-156318180,-617493209,-70374382,365985446,7175750,-46706922,-2649224,12196,283270,-1220,0,1 # liftF r=10
137939,717874,-2530427,-1228257,10034684,-711958,-11261332,-927541,176853,3836973,728601,250410,5198871,214133,-1893935,-3301017,-1216169,695607,696575,356842,7572,-23646,-540,0,1 # liftF r=12
