300971055140011008,1184411333744385696,1358280569412818208,311700951206308224,68789073349523520,-29844292087143360,-1291846263946704,-2379985127455968,388157858093664,-123707782890576,38798754656832,-5329040681160,1225583909712,-245022455520,38308600728,-2425823892,-27017640,13117176,-3129840,348588,15870,-1932,-138,0,1
172344853670812948674117632,71437718813905529569017856,-1048790096774743220551680,-1818253568920709625020416,215527239864317139222528,25525155858297977044992,-4124973675075535372288,-76970000511186239488,41146850846770462720,-1554158794854981632,-213580695377174528,26295002670260224,338114167116800,-137401389296640,180674752000,333164625408,56548352000,-3609807680,-447312832,28907136,1053952,-93840,1104,-5,1
26415695494886126818955253050574,-9163680137548193223505779808599,469326579328170326553088645485,95001616238561451986795712837,-2533964471025296239246398579,-799925451382820478170089989,-3987745113863342421206505,3104552640894933728465811,72188523872252578431297,-6944591264984340729462,93702990184239548322,41782420478378794266,1887829542548412642,-16616677375989594,-2786331990344706,-63793762741314,164546598528,219441121245,28596168801,1831456305,56817153,702351,-69,-1,1
1184952328233884289348884278191984,-144331028397621957524520791026392,6483452291084296842462362592903,-686701565968193053009094532714,-42748359814408206947213135382,5327619159102282043645753740,-429463458223832032556540961,44441508686637395734717797,74977596867421079435571,72556883213744611523775,11996861172327833536863,-238379111167573694670,48583029184304309460,-580590502154306676,69740335082963586,528502448685519,37255684022607,1812499774092,13646907423,1166525178,14574663,197616,7383,-7,1
479047886859203550318704163165900225,-3427040700763756631571293393756640,22119191977697363413914164892028224,1451688172998716742297923258672604,142611993001545623792252613907254,7109786241778808552440098753396,-47171318760563415870916745064,2057923976215750463267322708,279558025735315776410595879,7256558804062629797713152,982421300757273139841148,-9008923771063179608148,1182555220910553195084,-16164838680539687712,1322358238471222512,-7068508085813352,1010482913382831,-1217672393448,466819092900,-105212856,123880806,-8004,17388,0,1
5568837278433827604977426571473485050,-229954841267374895651932303331757675,11112652888625709242047221215239089,-8591585041914816851227472485473126,689293006139808598477707449083098,-16161060402826244821905329565393,423995313081161114332278140573,-12446456367249704439514314541,-1233680294120584236769098581,-20286838212783404994094342,3649763084770129315191982,135325944125866579466136,3553207352900203393304,136022833204938443442,4114696144621200124,62123838479911061,656162372758823,12326025496092,134293703824,-1795172862,-24038266,-178204,-1426,-7,1
403616077991348039833826986272655195984416,13617161923283080207716421025297480737440,-596408380486510006054854121885678526112,-6407682502859765511057327985427833632,628650792492700841201630523647602368,-8808181801351077135511691145412416,-744277737194315633603390340992256,7083666218959345460644193235456,1067667317147255557310084197152,-3394194069311184350618638992,-980043144158329882385094576,1134823669430194823832576,574448239955060709141384,-233865210189956395608,-218668174596067518360,-4130506787597640,54014672235800232,10275401060964,-8507359318940,-1274784384,827173104,136712,-44022,-3,1
2492036823051991453105630415931362131572,2084324308033990896515882728587478279740,394207589336004829126205170822952135145,-24968323693622401558115558321680850226,3542025680569798446233480945531629569,-209038085992927231603306395890374332,17154918961932324335052030027614628,-865514096059818075812235440344548,33308671082783156408566160356512,-996309083241877116114532247412,23663947668414899463384635694,-477974938951228395567977100,8281204558458001391339706,-117535284782571222647010,1895284566551462162706,-19054780195385544708,307958324519481888,-2238861487370928,35221377153081,-117865210050,2789964009,-1886598,89838,0,1
1484347004261483004711619678338813604800,-4439168483151861113527550072343828712770,11381469341830072657277195569646709789408,288839400448661624078706897772105401990,-19262802748640075472481336718807848938,14327870632725092701472809761580470,11348208016436664632914692481581074,-371855018556426378765025842230490,5508424756788306186401467919628,45663326752801759661794846600,-2408992286253884272691213352,63169008424478887047060090,-992224018103232536705496,-5969166324165933549360,383906105008904236878,-7403089026609111570,139372529913212988,-1693276108366710,19939216336522,-117851956530,1332289812,-2941470,56028,0,1
1180628767499844408744328301038197574080,48188263196726125695198589167865110733296,708876626383795225799719595778534011360151,-3550259895522047337328512549349578359304,-526714456927733561373302087494393768743,2785189521024221040946038225877319664,247721777867846342831598381176029680,-3026122264676821104976670054970768,-34134226847443627194207414591276,557655735018802515504209415888,2227374846558633378851128794,48598868271683175581785104,134890924957259409691662,-44949260951291984761656,819434651223375934110,-11238759359141858544,145012284896115000,-1553696726434944,16821355963503,-92574511848,950835249,-3164616,37674,0,1
