121393,0,843888,0,2530894,0,4295824,0,4554889,0,3148688,0,1443750,0,441248,0,89725,0,11960,0,1003,0,48,0,1 # liftE_mix r=0
15383457025,0,-26396210810,0,20743375274,0,-9868611890,0,3164614780,0,-720403598,0,119339725,0,-14491326,0,1279826,0,-80152,0,3378,0,-86,0,1 # liftE_mix r=12
6071,0,-118196,0,-247455,0,382746,0,1372904,0,1506778,0,881349,0,312878,0,70631,0,10198,0,912,0,46,0,1 # liftE_mix r=4
1666492621,0,3571035484,0,3479399907,0,2037999718,0,799124368,0,220952910,0,44165031,0,6429218,0,676373,0,50142,0,2486,0,74,0,1 # liftE_mix r=0
10009,0,-80892,0,281358,0,-554556,0,687193,0,-562356,0,311250,0,-117576,0,30225,0,-5190,0,569,0,-36,0,1 # liftE_mix r=24
-1,0,6,0,27,0,-216,0,190,0,524,0,-110,0,-496,0,-206,0,40,0,48,0,12,0,1 # liftE_mix r=10
1873,0,-7218,0,7487,0,2416,0,-6614,0,-14,0,2507,0,88,0,-493,0,-80,0,36,0,12,0,1 # liftE_mix r=12
1,0,-84,0,1141,0,-5936,0,15622,0,-23792,0,22580,0,-13904,0,5645,0,-1500,0,251,0,-24,0,1 # liftE_mix r=24
232488049,0,-563359220,0,624804022,0,-419447620,0,189860881,0,-61052620,0,14302754,0,-2459800,0,308245,0,-27450,0,1649,0,-60,0,1 # liftE_mix r=12
13,0,182,0,637,0,520,0,-650,0,-728,0,428,0,328,0,-215,0,-30,0,47,0,-12,0,1 # liftE_mix r=12
33461,0,0,0,36357,0,0,0,16278,0,0,0,3844,0,0,0,505,0,0,0,35,0,0,0,1 # liftE_mix r=0
12249063919,0,-22158229494,0,18186519271,0,-8962535038,0,2955868582,0,-687757004,0,115832871,0,-14236154,0,1267809,0,-79822,0,3374,0,-86,0,1 # liftE_mix r=16
9414881423,0,-17228908074,0,14361660995,0,-7211061032,0,2429076676,0,-578336206,0,99798883,0,-12577096,0,1148927,0,-74200,0,3216,0,-84,0,1 # liftE_mix r=24
67562921791,0,-101653950416,0,70075533565,0,-29267108032,0,8248241926,0,-1652543680,0,241351940,0,-25890496,0,2024635,0,-112560,0,4223,0,-96,0,1 # liftE_mix r=12
1,0,42,0,301,0,952,0,1798,0,2296,0,2108,0,1432,0,725,0,270,0,71,0,12,0,1 # liftE_mix r=0
73458153653,0,108537107742,0,73724918749,0,30425518536,0,8492419770,0,1688320382,0,245048884,0,26156990,0,2037478,0,112934,0,4228,0,96,0,1 # liftE_mix r=0
118649231,0,-317119716,0,384806004,0,-280399561,0,136689541,0,-46974510,0,11672262,0,-2113465,0,276821,0,-25584,0,1584,0,-59,0,1 # liftE_mix r=24
-1,0,-423,0,-1353,0,535,0,8359,0,16785,0,17619,0,11431,0,4823,0,1329,0,231,0,23,0,1 # liftE_mix r=2
1,0,84,0,1141,0,5936,0,15622,0,23792,0,22580,0,13904,0,5645,0,1500,0,251,0,24,0,1 # liftE_mix r=0
30241796311,0,-52027906512,0,40542720925,0,-18914813120,0,5882323750,0,-1284339392,0,201845540,0,-23005376,0,1887395,0,-108720,0,4175,0,-96,0,1 # liftE_mix r=24
211303,0,-666996,0,1038781,0,-1040432,0,742054,0,-395696,0,161540,0,-50864,0,12275,0,-2220,0,287,0,-24,0,1 # liftE_mix r=0
17483311,0,-52274712,0,71566915,0,-59346016,0,33209926,0,-13216160,0,3836220,0,-818528,0,127435,0,-14120,0,1057,0,-48,0,1 # liftE_mix r=12
-53,0,-1422,0,-4701,0,7800,0,65432,0,134694,0,134611,0,73704,0,23807,0,4680,0,552,0,36,0,1 # liftE_mix r=2
211303,0,666996,0,1038781,0,1040432,0,742054,0,395696,0,161540,0,50864,0,12275,0,2220,0,287,0,24,0,1 # liftE_mix r=0
4487977,0,16965936,0,28729766,0,28810080,0,19055062,0,8759608,0,2871309,0,676672,0,113882,0,13360,0,1038,0,48,0,1 # liftE_mix r=0
1325,0,-1250,0,-5899,0,10590,0,-3230,0,-4380,0,3309,0,-86,0,-553,0,142,0,16,0,-10,0,1 # liftE_mix r=16
