348447620,-255133903,-547131567,51889932,408530278,83232239,-44718877,1648249,16678703,3835319,-299391,-822181,1150069,32200,-67390,13041,26105,-7107,115,805,-23,-92,46,-9,1
12257958950,21771803571,30456710565,20643451949,9514949535,5892187392,2283821438,27511131,-133206603,29331550,21036936,-7443681,8939809,4518699,130941,60652,134838,-56643,2809,-447,-51,-83,39,-3,1
516194125344,-619763710320,718306700760,-540502854852,383619175248,-168808002924,85787850236,-17115844266,6333608394,2720905313,-857135181,871725852,-150228272,73872711,2082489,-23115,1816287,-343413,152375,-23115,6417,-736,138,-9,1
16243456644,32828566933,45053803391,48397299706,42515692372,30642244109,19262750953,10500576561,4905026253,1935002535,719350967,121236910,80106056,-8816521,6538417,-3421273,2200479,-655017,79695,8947,-2737,322,46,-7,1
720926319872,18580381696,-97316292864,173808175232,186561696576,91239870976,29555983296,9525173632,5221335616,1744336376,271270004,29012936,-2716645,-4433986,-313904,-153226,15203,10580,92,2116,161,-138,0,-2,1
4254080000,-14879474400,72214909088,-58487974016,24491540800,-19658013888,25002966960,3985186080,5684685152,-1459677520,26441536,-210047592,287772688,103764960,61013112,12266636,3028088,271032,90896,-4692,1702,-92,46,0,1
2069013582968,369232815043,-371786619789,229185724353,379141858053,219547213368,82735303300,26759294777,12329312311,4278851736,720476564,62447415,-7140235,-9316817,-1319257,-374233,21827,30590,1978,2484,184,-184,0,-1,1
8907955200,117810482400,578639915232,218249185920,80932828352,-145437967424,-15939057040,2974316576,7395670240,-1987678032,753948096,-660633784,320516592,-136511808,59865320,-12960500,1177416,101752,-104880,17020,1794,-276,-46,0,1
1832883408499,-4722416561428,5819228750502,19454327026730,11823529841596,3306843233894,2554140225644,1900343397586,553390125267,44126003884,3753504504,1909604440,90300852,217669608,65729216,-524952,3281433,-80040,506,9246,552,-230,92,-10,1
882386847840544,526400334031449,-112667754991185,-34503959981507,35390885948019,-14440580995605,-4522704779819,770282543211,599039816085,237334505834,-52432324026,-52484433654,4281992846,5095676358,-349634454,-285698962,21368058,9625293,-811877,-190647,17871,2047,-207,-9,1
-1124209552,-2521795520,-1855815168,408992624,1635924864,756475888,-428482272,-613848104,-191464328,56280908,50630912,3826832,-4626703,-764014,184000,-28888,575,14168,368,-2024,23,138,0,-8,1
-4028930280,-7702335765,-3396045933,4353536025,3735400077,-3621948552,-7295666700,-4683171519,-1002102801,355125336,234022332,9704367,-19310915,-2804505,730503,-4945,-18285,22494,1058,-3036,0,184,0,-9,1
747127537,-603600010,-412568066,-646873942,1778150953,-836850262,-70719618,-154185468,619312375,-598157504,279647087,-75938088,26481234,-20261436,12467679,-3444112,551425,-247296,115253,-27784,2990,-184,46,-10,1
-8449325824,-13937205248,-3986429184,-679684224,-22742748864,-45614065152,-41880153152,-20037607360,-3503258432,1207359240,683951828,18337992,-52093597,-7524818,1643120,78062,-47725,29348,1564,-4140,-23,230,0,-10,1
-25533238608,-70706654784,-202365558144,-467511881328,-704599755264,-692354314224,-435453100224,-161710060968,-23852580744,6319241076,3138766944,31175856,-217514795,-32287446,4646736,508484,-147177,33120,1472,-6624,-69,322,0,-12,1
196514937151886,-144805184816725,530098400501397,-304230478240729,-178833941932387,130368124745457,27444014781471,-24776605601423,-2018774954783,2798493229134,6708932146,-214726400258,12165842594,11915607746,-1104813970,-481798710,51966752,13468087,-1495575,-240373,26289,2461,-253,-11,1
-15524647334236790,11134403015546217,1118211440714169,-2818327135901155,443863445654697,353785709307807,-152519333735929,3370402361139,10624267494249,-2193559837734,-120112513830,96089075010,-9317005462,-1231807458,443855886,-46276506,-6484068,2266029,14237,-64239,3933,851,-69,-9,1
-490507317576,-15994628505780,86439321314730,-146264454851379,136170187462956,-43454451300570,-32057513361411,31216557119355,2352369519168,-5703413785269,-87481001469,470403053433,18434636367,-21635552853,-1934598195,664129209,86495019,-14864187,-2371737,177606,56097,-621,-414,0,1
-85985099791461864,43947110552857479,7865979425706063,1627788882883731,-14104675963577093,9087852882006737,-2344531317463903,93757371335165,88067700716597,-16764407090170,-749993116234,543243617054,-41521495154,-4542185406,966699522,-68974470,-9165086,4035971,-174133,-85537,7751,989,-115,-7,1
-112617021750000,-1823011271946720,9392141143054500,-13584024001297665,11576386935613260,-2882656074044190,-2594824542611545,1498239370532955,238719160306740,-179933328659915,-13541701836495,9392900096445,751604659695,-266785219395,-31078287585,5029451745,749828175,-69563385,-12026585,494040,157665,-1035,-690,0,1
